ticket_id,created_date,resolved_date,category,priority,sla_target_hours,first_response_hours,resolution_time_hours,sla_breached,status,assigned_team,agent_name,location,channel,customer_satisfaction
INC102574,2025-01-04 00:15:16,2025-01-16 00:15:16,Network,Low,48,0.92,288.0,True,Reopened,Desktop Support,K. Meyer,Remote,Chat,
INC100087,2025-01-04 03:30:36,2025-01-06 10:33:36,Software,Low,48,8.64,55.05,True,Resolved,Systems Admin,A. Khan,Remote,Self-Service Portal,4
INC100648,2025-01-04 08:13:10,2025-01-05 21:26:22,Software,Low,48,18.42,37.22,False,Resolved,Network Ops,K. Meyer,Branch - New York,Chat,4
INC102068,2025-01-04 11:56:26,2025-01-04 18:31:14,Printer,Medium,24,6.12,6.58,False,Closed,Network Ops,H. Osei,Branch - New York,Email,4
INC101542,2025-01-04 16:26:48,2025-01-06 15:55:00,Network,Medium,24,3.27,47.47,True,Resolved,Network Ops,L. Fernandes,Branch - New York,Email,3
INC101752,2025-01-04 17:41:58,2025-01-05 01:50:58,Network,High,8,1.61,8.15,True,Resolved,Service Desk L1,I. Rossi,HQ - Dubai,Self-Service Portal,3
INC101058,2025-01-04 18:55:59,2025-01-05 04:37:23,Email,Medium,24,9.69,9.69,False,Resolved,Desktop Support,E. Zhou,Branch - Singapore,Email,4
INC101283,2025-01-05 11:45:52,2025-01-05 17:56:04,Application Support,High,8,1.13,6.17,False,Resolved,Service Desk L1,E. Zhou,Remote,Email,5
INC102591,2025-01-05 11:47:56,2025-01-06 05:28:08,Email,Medium,24,4.45,17.67,False,Resolved,Desktop Support,I. Rossi,HQ - Dubai,Email,3
INC101806,2025-01-05 12:31:59,2025-01-05 18:07:23,Security Incident,High,8,3.03,5.59,False,Reopened,Desktop Support,D. Ahmed,HQ - Dubai,Self-Service Portal,
INC102031,2025-01-05 14:28:30,2025-01-05 21:12:18,Access Management,High,8,1.27,6.73,False,Reopened,Security Team,B. Silva,Remote,Email,
INC100238,2025-01-05 15:51:30,2025-01-06 06:34:42,Hardware,Medium,24,11.07,14.72,False,Resolved,Network Ops,G. Petrov,Remote,Email,3
INC102151,2025-01-05 15:52:12,2025-01-05 19:42:36,Printer,High,8,2.47,3.84,False,Reopened,App Support,K. Meyer,HQ - Dubai,Email,
INC102144,2025-01-05 15:58:39,,Application Support,Low,48,17.66,17.66,False,Reopened,Network Ops,L. Fernandes,Branch - London,Self-Service Portal,
INC100902,2025-01-05 21:39:30,2025-01-08 03:40:06,Application Support,Low,48,9.57,54.01,True,Resolved,Desktop Support,H. Osei,Branch - New York,Phone,4
INC102881,2025-01-05 21:50:26,2025-01-06 20:40:50,Software,Medium,24,6.62,22.84,False,Resolved,Service Desk L1,D. Ahmed,Branch - New York,Self-Service Portal,4
INC100483,2025-01-06 03:38:21,,Software,Low,48,16.48,143.47,True,Reopened,Desktop Support,G. Petrov,Remote,Phone,
INC100855,2025-01-06 04:32:25,2025-01-07 01:46:49,Software,Low,48,18.1,21.24,False,Closed,Service Desk L1,G. Petrov,Branch - London,Phone,5
INC100564,2025-01-06 04:49:55,2025-01-07 06:54:07,Application Support,Low,48,0.26,26.07,False,Resolved,Service Desk L1,C. Novak,HQ - Dubai,Self-Service Portal,3
INC102173,2025-01-06 07:18:18,2025-01-07 01:12:18,Hardware,Medium,24,11.45,17.9,False,Resolved,Desktop Support,A. Khan,Branch - London,Email,4
INC101218,2025-01-06 09:43:30,2025-01-06 15:16:30,Software,High,8,0.52,5.55,False,Resolved,Desktop Support,L. Fernandes,Branch - New York,Self-Service Portal,4
INC102116,2025-01-06 16:23:56,2025-01-08 19:42:32,Software,Low,48,3.0,51.31,True,Closed,Desktop Support,D. Ahmed,Branch - London,Walk-in,3
INC100688,2025-01-06 16:24:32,2025-01-07 02:20:20,Hardware,Medium,24,9.93,9.93,False,Resolved,Desktop Support,J. Kim,Branch - Singapore,Self-Service Portal,4
INC100165,2025-01-06 16:27:14,2025-01-07 03:05:38,Network,Medium,24,9.41,10.64,False,Reopened,App Support,G. Petrov,Remote,Phone,
INC100941,2025-01-06 18:12:42,2025-01-08 11:18:06,Hardware,Low,48,9.74,41.09,False,Resolved,Systems Admin,I. Rossi,Branch - Singapore,Email,5
INC100502,2025-01-06 18:34:23,2025-01-07 04:47:35,Software,Medium,24,6.37,10.22,False,Resolved,Systems Admin,B. Silva,Remote,Walk-in,5
INC100381,2025-01-06 19:12:37,2025-01-07 13:57:37,Application Support,Medium,24,3.56,18.75,False,Reopened,Security Team,E. Zhou,HQ - Dubai,Self-Service Portal,
INC102364,2025-01-06 23:59:09,2025-01-09 11:57:57,Hardware,Medium,24,0.24,59.98,True,Resolved,Desktop Support,J. Kim,Branch - London,Self-Service Portal,3
INC100602,2025-01-07 03:05:25,2025-01-08 16:42:37,Network,Low,48,12.58,37.62,False,Closed,Systems Admin,K. Meyer,Remote,Chat,4
INC100722,2025-01-07 03:43:51,2025-01-07 22:23:27,Network,Low,48,5.57,18.66,False,Resolved,App Support,A. Khan,HQ - Dubai,Email,4
INC102262,2025-01-07 08:32:28,2025-01-11 15:06:40,Email,Low,48,20.11,102.57,True,Resolved,Service Desk L1,I. Rossi,Remote,Self-Service Portal,4
INC102017,2025-01-07 08:33:59,2025-01-10 11:55:35,Access Management,Low,48,17.84,75.36,True,Resolved,Security Team,I. Rossi,Remote,Email,5
INC101066,2025-01-07 08:50:22,2025-01-08 12:02:22,Network,Low,48,18.48,27.2,False,Resolved,Systems Admin,H. Osei,HQ - Dubai,Self-Service Portal,5
INC100345,2025-01-07 10:03:14,2025-01-08 16:51:50,Software,Low,48,21.06,30.81,False,Resolved,Systems Admin,F. Torres,HQ - Dubai,Email,4
INC100100,2025-01-07 12:51:25,2025-01-08 11:41:13,Security Incident,Low,48,10.64,22.83,False,Resolved,Security Team,F. Torres,Branch - New York,Email,4
INC101590,2025-01-07 14:27:31,2025-01-08 04:31:43,Application Support,Low,48,9.4,14.07,False,Resolved,Systems Admin,I. Rossi,Remote,Email,5
INC102843,2025-01-07 14:38:27,2025-01-09 04:41:27,Email,Medium,24,6.27,38.05,True,Resolved,Security Team,G. Petrov,Branch - New York,Phone,4
INC101317,2025-01-07 14:47:30,2025-01-07 23:37:54,Network,Medium,24,8.84,8.84,False,Resolved,Security Team,G. Petrov,Branch - London,Phone,5
INC102130,2025-01-08 00:10:09,2025-01-08 05:47:57,Application Support,High,8,2.7,5.63,False,Resolved,Network Ops,A. Khan,HQ - Dubai,Email,5
INC101689,2025-01-08 01:46:53,2025-01-08 16:58:17,Security Incident,Medium,24,8.06,15.19,False,Resolved,App Support,D. Ahmed,HQ - Dubai,Self-Service Portal,5
INC101173,2025-01-08 08:33:25,2025-01-08 21:03:25,Software,Medium,24,3.75,12.5,False,Resolved,Systems Admin,G. Petrov,Remote,Self-Service Portal,4
INC102716,2025-01-08 11:48:16,2025-01-09 11:16:28,Software,Medium,24,10.82,23.47,False,Reopened,Systems Admin,E. Zhou,HQ - Dubai,Self-Service Portal,
INC100533,2025-01-08 12:19:10,2025-01-09 09:02:22,Printer,Low,48,4.81,20.72,False,Resolved,Network Ops,E. Zhou,Branch - London,Phone,5
INC102803,2025-01-08 16:34:28,2025-01-09 01:31:28,Network,High,8,2.89,8.95,True,Resolved,Security Team,G. Petrov,Remote,Self-Service Portal,3
INC100532,2025-01-08 17:05:26,2025-01-09 03:58:14,Hardware,Medium,24,4.5,10.88,False,Closed,Systems Admin,L. Fernandes,Remote,Phone,5
INC100749,2025-01-08 19:38:30,2025-01-09 06:53:30,Network,Medium,24,1.42,11.25,False,Closed,Service Desk L1,K. Meyer,HQ - Dubai,Chat,5
INC101805,2025-01-09 00:09:17,2025-01-09 03:47:41,Printer,Medium,24,3.64,3.64,False,Resolved,Desktop Support,B. Silva,Remote,Phone,4
INC102890,2025-01-09 02:09:16,2025-01-10 20:29:04,Software,Low,48,18.04,42.33,False,Resolved,App Support,E. Zhou,Branch - Singapore,Self-Service Portal,4
INC101623,2025-01-09 03:27:42,2025-01-09 16:25:18,Network,Low,48,5.54,12.96,False,Resolved,Service Desk L1,A. Khan,HQ - Dubai,Chat,5
INC102874,2025-01-09 03:57:55,2025-01-09 08:32:07,Hardware,High,8,3.61,4.57,False,Resolved,Network Ops,G. Petrov,Branch - London,Self-Service Portal,5
INC101078,2025-01-09 04:34:49,2025-01-09 05:43:49,Hardware,Critical,4,0.44,1.15,False,Resolved,Network Ops,G. Petrov,HQ - Dubai,Chat,4
INC102832,2025-01-09 15:36:59,2025-01-11 00:45:59,Hardware,Medium,24,5.68,33.15,True,Resolved,Security Team,K. Meyer,Remote,Email,3
INC100185,2025-01-09 21:46:38,2025-01-09 23:12:26,Hardware,Critical,4,0.57,1.43,False,Reopened,Security Team,K. Meyer,Branch - New York,Self-Service Portal,
INC102366,2025-01-10 05:39:28,2025-01-12 05:26:52,Software,Medium,24,7.87,47.79,True,Resolved,Security Team,D. Ahmed,HQ - Dubai,Chat,3
INC102720,2025-01-10 06:15:01,2025-01-10 12:00:01,Software,Low,48,5.75,5.75,False,Resolved,App Support,I. Rossi,Branch - London,Self-Service Portal,4
INC100597,2025-01-10 07:08:48,2025-01-11 03:23:48,Application Support,Medium,24,0.81,20.25,False,Resolved,App Support,K. Meyer,Remote,Phone,5
INC102283,2025-01-10 09:41:01,2025-01-10 20:31:25,Software,Medium,24,1.84,10.84,False,Resolved,Systems Admin,B. Silva,Branch - London,Email,5
INC100273,2025-01-10 09:52:48,2025-01-10 12:31:48,Access Management,Critical,4,1.36,2.65,False,Reopened,Security Team,I. Rossi,Remote,Self-Service Portal,
INC101937,2025-01-10 16:46:43,2025-01-10 21:28:43,Hardware,High,8,1.07,4.7,False,Closed,App Support,I. Rossi,Branch - London,Email,4
INC102996,2025-01-10 17:56:26,2025-01-11 12:04:50,Application Support,Medium,24,9.2,18.14,False,Resolved,Network Ops,D. Ahmed,Remote,Email,5
INC102970,2025-01-10 23:54:23,2025-01-12 11:24:59,Email,Low,48,23.66,35.51,False,Resolved,Desktop Support,B. Silva,Branch - London,Chat,4
INC101373,2025-01-11 02:32:52,2025-01-11 15:44:52,Printer,Medium,24,3.13,13.2,False,Resolved,Security Team,J. Kim,Branch - New York,Chat,4
INC100192,2025-01-11 02:52:51,2025-01-13 11:12:03,Network,Medium,24,10.26,56.32,True,Resolved,Desktop Support,G. Petrov,HQ - Dubai,Email,4
INC100321,2025-01-11 12:58:01,2025-01-11 15:18:25,Network,High,8,1.64,2.34,False,Reopened,Systems Admin,I. Rossi,HQ - Dubai,Chat,
INC101249,2025-01-11 22:26:29,2025-01-12 15:18:05,Hardware,Medium,24,2.65,16.86,False,Resolved,Systems Admin,K. Meyer,Branch - New York,Chat,5
INC101408,2025-01-12 00:59:19,2025-01-12 15:26:55,Access Management,Medium,24,0.76,14.46,False,Resolved,Desktop Support,L. Fernandes,HQ - Dubai,Phone,4
INC101303,2025-01-12 01:08:00,2025-01-13 09:14:36,Network,Low,48,1.81,32.11,False,Closed,Security Team,F. Torres,HQ - Dubai,Email,3
INC101592,2025-01-12 04:42:24,2025-01-12 16:34:36,Access Management,Low,48,9.07,11.87,False,Resolved,Systems Admin,J. Kim,HQ - Dubai,Email,3
INC100530,2025-01-12 12:42:41,2025-01-14 07:51:41,Application Support,Low,48,16.61,43.15,False,Resolved,App Support,F. Torres,HQ - Dubai,Phone,4
INC101569,2025-01-12 12:48:50,2025-01-16 16:24:14,Software,Low,48,2.78,99.59,True,Resolved,Network Ops,G. Petrov,Branch - Singapore,Self-Service Portal,4
INC100104,2025-01-12 15:48:13,2025-01-13 22:51:49,Access Management,Low,48,18.24,31.06,False,Resolved,Service Desk L1,B. Silva,HQ - Dubai,Self-Service Portal,5
INC101766,2025-01-12 17:55:29,2025-01-13 14:23:41,Network,Low,48,4.36,20.47,False,Resolved,Network Ops,K. Meyer,Remote,Email,5
INC101983,2025-01-12 19:22:34,2025-01-12 22:44:10,Hardware,High,8,0.42,3.36,False,Resolved,Systems Admin,C. Novak,HQ - Dubai,Email,3
INC100599,2025-01-13 01:47:13,2025-01-13 04:35:49,Application Support,Medium,24,2.81,2.81,False,Resolved,Desktop Support,D. Ahmed,HQ - Dubai,Phone,5
INC101824,2025-01-13 06:20:22,2025-01-13 09:32:58,Hardware,High,8,2.61,3.21,False,Reopened,App Support,D. Ahmed,Branch - London,Phone,
INC101147,2025-01-13 09:50:00,2025-01-14 01:49:24,Printer,Medium,24,4.86,15.99,False,Resolved,Desktop Support,I. Rossi,Remote,Email,5
INC101111,2025-01-13 09:57:27,2025-01-13 13:58:03,Hardware,Medium,24,4.01,4.01,False,Closed,Service Desk L1,A. Khan,Remote,Self-Service Portal,4
INC102333,2025-01-13 10:36:01,2025-01-14 04:00:01,Application Support,Medium,24,8.35,17.4,False,Resolved,Security Team,E. Zhou,HQ - Dubai,Self-Service Portal,3
INC100545,2025-01-13 11:53:20,2025-01-13 23:15:32,Application Support,Low,48,11.37,11.37,False,Resolved,Security Team,I. Rossi,HQ - Dubai,Phone,3
INC100689,2025-01-13 13:54:40,2025-01-14 11:34:52,Hardware,Low,48,9.98,21.67,False,Resolved,App Support,F. Torres,Remote,Email,5
INC102796,2025-01-13 17:41:40,2025-01-14 02:48:52,Printer,Low,48,6.71,9.12,False,Resolved,Network Ops,B. Silva,HQ - Dubai,Email,5
INC100666,2025-01-13 17:42:47,2025-01-14 06:39:11,Application Support,High,8,0.08,12.94,True,Closed,App Support,J. Kim,Remote,Self-Service Portal,3
INC100291,2025-01-13 22:50:43,2025-01-14 07:35:07,Network,Medium,24,4.24,8.74,False,Closed,Systems Admin,E. Zhou,HQ - Dubai,Email,5
INC102155,2025-01-14 02:37:38,2025-01-14 09:46:38,Email,High,8,0.9,7.15,False,Reopened,Security Team,I. Rossi,Branch - New York,Phone,
INC101366,2025-01-14 03:32:44,2025-01-15 17:09:20,Hardware,Low,48,22.64,37.61,False,Resolved,Security Team,A. Khan,Remote,Email,4
INC100221,2025-01-14 21:44:42,2025-01-16 05:44:06,Hardware,Low,48,1.16,31.99,False,Closed,Network Ops,J. Kim,Remote,Chat,5
INC102978,2025-01-14 23:14:21,2025-01-15 02:20:57,Network,Critical,4,1.14,3.11,False,Closed,Security Team,C. Novak,HQ - Dubai,Email,4
INC102669,2025-01-14 23:17:48,2025-01-15 01:28:00,Application Support,High,8,2.13,2.17,False,Resolved,Desktop Support,G. Petrov,HQ - Dubai,Email,4
INC101198,2025-01-15 01:38:22,2025-01-16 05:35:58,Application Support,Medium,24,1.0,27.96,True,Resolved,Systems Admin,A. Khan,HQ - Dubai,Chat,3
INC101152,2025-01-15 03:41:09,2025-01-17 20:18:57,Security Incident,Low,48,1.07,64.63,True,Resolved,App Support,B. Silva,Branch - London,Email,3
INC101793,2025-01-15 04:41:16,2025-01-15 10:50:16,Application Support,Medium,24,4.15,6.15,False,Resolved,Network Ops,E. Zhou,Branch - London,Self-Service Portal,4
INC100361,2025-01-15 08:44:42,2025-01-15 14:47:42,Printer,Medium,24,6.05,6.05,False,Closed,Service Desk L1,A. Khan,Branch - New York,Email,5
INC101491,2025-01-15 12:46:04,2025-01-22 03:49:40,Email,Low,48,2.53,159.06,True,Resolved,Service Desk L1,L. Fernandes,Remote,Phone,3
INC102582,2025-01-15 13:25:49,2025-01-17 06:45:01,Hardware,Low,48,18.15,41.32,False,Reopened,Security Team,F. Torres,HQ - Dubai,Self-Service Portal,
INC100026,2025-01-15 14:45:52,2025-01-15 17:32:40,Application Support,Critical,4,0.59,2.78,False,Resolved,Desktop Support,D. Ahmed,Remote,Walk-in,3
INC101822,2025-01-15 17:01:36,,Network,Low,48,5.31,18.74,False,Reopened,App Support,J. Kim,Branch - Singapore,Phone,
INC102739,2025-01-15 18:37:27,2025-01-17 14:03:51,Software,Low,48,9.53,43.44,False,Resolved,Desktop Support,H. Osei,Branch - New York,Email,3
INC102620,2025-01-15 20:46:22,,Hardware,Low,48,0.9,30.82,False,Reopened,Desktop Support,E. Zhou,HQ - Dubai,Self-Service Portal,
INC100118,2025-01-15 20:59:20,2025-01-18 02:41:20,Network,Low,48,6.98,53.7,True,Resolved,App Support,J. Kim,HQ - Dubai,Chat,4
INC100837,2025-01-15 21:24:03,,Network,High,8,1.98,5.48,False,Reopened,Security Team,I. Rossi,Branch - London,Phone,
INC101185,2025-01-16 03:11:46,2025-01-18 00:18:22,Application Support,Low,48,7.43,45.11,False,Resolved,App Support,I. Rossi,Branch - London,Self-Service Portal,5
INC102468,2025-01-16 03:28:27,2025-01-18 03:49:27,Email,Low,48,0.48,48.35,True,Reopened,App Support,L. Fernandes,HQ - Dubai,Email,
INC100936,2025-01-16 13:20:27,2025-01-16 23:42:39,Application Support,Medium,24,4.67,10.37,False,Resolved,Network Ops,L. Fernandes,Remote,Phone,5
INC100661,2025-01-16 15:44:55,2025-01-17 09:13:07,Hardware,High,8,1.2,17.47,True,Resolved,Service Desk L1,E. Zhou,Remote,Self-Service Portal,5
INC102607,2025-01-16 22:52:49,2025-01-17 12:01:13,Printer,High,8,2.6,13.14,True,Closed,Desktop Support,H. Osei,Remote,Chat,4
INC102674,2025-01-17 01:16:20,2025-01-18 16:24:44,Network,Low,48,7.78,39.14,False,Resolved,Systems Admin,F. Torres,Branch - London,Email,4
INC101802,2025-01-17 04:58:03,2025-01-17 10:44:51,Network,Medium,24,5.78,5.78,False,Closed,Desktop Support,L. Fernandes,HQ - Dubai,Email,4
INC100684,2025-01-17 06:05:30,2025-01-18 08:06:06,Application Support,Low,48,14.11,26.01,False,Resolved,Desktop Support,C. Novak,Branch - London,Phone,5
INC100482,2025-01-17 08:54:26,2025-01-18 01:27:26,Software,Low,48,15.91,16.55,False,Resolved,App Support,A. Khan,Branch - Singapore,Email,4
INC101315,2025-01-17 09:20:12,2025-01-21 13:04:00,Software,Low,48,23.09,99.73,True,Closed,Service Desk L1,C. Novak,Branch - New York,Self-Service Portal,4
INC100437,2025-01-17 09:56:15,,Printer,High,8,0.3,5.77,False,Reopened,Security Team,I. Rossi,HQ - Dubai,Phone,
INC100583,2025-01-17 11:21:26,2025-01-20 05:31:38,Hardware,Low,48,18.7,66.17,True,Resolved,Desktop Support,G. Petrov,Branch - Singapore,Email,3
INC102455,2025-01-17 17:01:57,2025-01-18 01:37:57,Access Management,High,8,1.01,8.6,True,Resolved,Desktop Support,G. Petrov,Remote,Phone,2
INC100868,2025-01-17 20:08:28,2025-01-18 04:20:28,Printer,Medium,24,2.7,8.2,False,Reopened,Network Ops,D. Ahmed,HQ - Dubai,Self-Service Portal,
INC102921,2025-01-17 20:17:45,2025-01-17 23:05:45,Email,High,8,1.8,2.8,False,Closed,App Support,L. Fernandes,Remote,Self-Service Portal,5
INC100062,2025-01-17 23:08:09,2025-01-18 11:47:45,Software,Low,48,12.66,12.66,False,Resolved,Desktop Support,G. Petrov,Branch - London,Email,4
INC101798,2025-01-18 08:54:04,2025-01-18 22:11:28,Network,Medium,24,9.81,13.29,False,Resolved,Security Team,G. Petrov,HQ - Dubai,Phone,5
INC102081,2025-01-18 12:42:22,2025-01-18 15:05:10,Application Support,High,8,0.9,2.38,False,Resolved,Security Team,D. Ahmed,HQ - Dubai,Self-Service Portal,4
INC101922,2025-01-18 15:21:42,2025-01-19 00:18:42,Application Support,High,8,2.41,8.95,True,Resolved,Desktop Support,A. Khan,HQ - Dubai,Chat,4
INC101054,2025-01-18 18:07:06,2025-01-19 22:11:54,Network,Medium,24,9.37,28.08,True,Reopened,Service Desk L1,L. Fernandes,HQ - Dubai,Chat,
INC101911,2025-01-19 02:38:38,2025-01-20 02:48:14,Software,Low,48,10.79,24.16,False,Closed,Desktop Support,C. Novak,Branch - Singapore,Email,4
INC100953,2025-01-19 12:33:16,2025-01-21 15:09:16,Printer,Low,48,12.66,50.6,True,Closed,Security Team,D. Ahmed,Remote,Email,4
INC101123,2025-01-19 12:53:16,2025-01-19 23:39:28,Email,Medium,24,7.44,10.77,False,Resolved,Desktop Support,J. Kim,HQ - Dubai,Phone,5
INC102190,2025-01-19 18:42:52,2025-01-20 11:36:52,Hardware,Medium,24,11.3,16.9,False,Closed,Service Desk L1,E. Zhou,HQ - Dubai,Self-Service Portal,5
INC101112,2025-01-19 21:05:07,2025-01-21 10:23:43,Network,Low,48,20.34,37.31,False,Closed,Network Ops,G. Petrov,Branch - London,Email,3
INC100982,2025-01-19 22:12:36,2025-01-20 19:46:48,Access Management,Medium,24,8.67,21.57,False,Resolved,App Support,F. Torres,Remote,Email,4
INC100578,2025-01-20 01:25:11,,Hardware,High,8,1.55,2.48,False,Reopened,Security Team,B. Silva,Branch - London,Phone,
INC102838,2025-01-20 03:39:13,2025-01-21 06:28:25,Access Management,Low,48,8.23,26.82,False,Resolved,Desktop Support,C. Novak,Branch - Singapore,Email,4
INC101219,2025-01-20 03:43:36,2025-01-21 01:10:36,Network,Low,48,3.32,21.45,False,Resolved,Systems Admin,J. Kim,Branch - London,Phone,5
INC102240,2025-01-20 04:11:11,2025-01-23 07:15:23,Printer,Low,48,5.14,75.07,True,Reopened,Security Team,G. Petrov,HQ - Dubai,Chat,
INC100311,2025-01-20 04:51:06,2025-01-22 14:07:54,Security Incident,Low,48,6.17,57.28,True,Reopened,Network Ops,D. Ahmed,Branch - London,Chat,
INC100303,2025-01-20 05:38:29,2025-01-20 07:54:41,Security Incident,Medium,24,2.27,2.27,False,Closed,Desktop Support,C. Novak,Branch - Singapore,Email,4
INC101721,2025-01-20 17:40:15,2025-01-21 22:25:51,Network,Low,48,12.11,28.76,False,Resolved,App Support,I. Rossi,Remote,Phone,4
INC100999,2025-01-20 22:25:20,2025-01-21 02:10:56,Software,Critical,4,1.8,3.76,False,Resolved,App Support,K. Meyer,Remote,Chat,5
INC102136,2025-01-20 23:21:30,2025-01-21 00:34:06,Email,High,8,1.21,1.21,False,Closed,App Support,L. Fernandes,Branch - London,Self-Service Portal,5
INC102180,2025-01-21 00:37:08,2025-01-23 06:58:44,Software,Low,48,22.7,54.36,True,Resolved,Desktop Support,G. Petrov,Remote,Self-Service Portal,3
INC101743,2025-01-21 01:14:25,2025-01-21 14:55:49,Hardware,Low,48,6.14,13.69,False,Closed,Security Team,G. Petrov,HQ - Dubai,Phone,4
INC100135,2025-01-21 02:31:35,2025-01-25 11:27:59,Software,Low,48,4.67,104.94,True,Resolved,Systems Admin,C. Novak,Remote,Email,2
INC100629,2025-01-21 05:33:34,2025-01-21 10:50:58,Hardware,Medium,24,5.29,5.29,False,Resolved,Network Ops,A. Khan,HQ - Dubai,Self-Service Portal,4
INC101457,2025-01-21 21:31:08,2025-01-22 04:14:56,Access Management,Medium,24,6.28,6.73,False,Resolved,Systems Admin,K. Meyer,Branch - Singapore,Email,4
INC102650,2025-01-21 21:36:48,2025-01-22 05:56:00,Email,Medium,24,5.11,8.32,False,Closed,Service Desk L1,H. Osei,Branch - London,Email,5
INC102092,2025-01-22 04:12:33,2025-01-22 23:35:21,Security Incident,Medium,24,11.09,19.38,False,Resolved,Network Ops,C. Novak,HQ - Dubai,Email,3
INC101695,2025-01-22 06:57:13,2025-01-24 05:08:01,Hardware,Medium,24,3.16,46.18,True,Resolved,App Support,G. Petrov,Branch - London,Walk-in,4
INC101964,2025-01-22 07:34:08,2025-01-24 00:35:20,Software,Medium,24,8.15,41.02,True,Resolved,App Support,L. Fernandes,HQ - Dubai,Self-Service Portal,4
INC102322,2025-01-22 09:17:45,2025-01-22 20:35:09,Software,Medium,24,8.78,11.29,False,Resolved,Security Team,D. Ahmed,Branch - New York,Chat,5
INC101093,2025-01-22 09:43:16,2025-01-22 13:47:28,Email,Critical,4,0.61,4.07,True,Closed,Security Team,B. Silva,Remote,Email,3
